,availability,avg_rating,brand,color,currency,description,images,name,price,original_price,review_count,scraped_at,url,mock_prices,category,cloth_gender
10,instock,4.5,nike,white/platinum tint/star blue/black,usa,"with stability where you need it, cushion where you want it, the structure 25 supports you for long miles, short training runs and even a down-and-back before the day ends. it’s the stability you seek, loyal from the first tie-up, tried and trusted, with a midfoot system that’s fully supportive and more comfortable cushioning than before.","['https://static.nike.com/a/images/t_PDP_1728_v1/f_auto,q_auto:eco/ec0e42a0-de0d-4e55-b979-ea38b17e1831/structure-25-mens-road-running-shoes-Xsg0D0.png']",nike structure 25,140.0,140.0,58,2023-12-16 11:41:25,https://www.nike.com/t/structure-25-mens-road-running-shoes-Xsg0D0/DJ7883-104,142.42~161.64~143.96~156.85~151.26,,
11,instock,4.5,nike,white/green strike/racer blue/black,usa,bridge the gap between your weekend training run and race day in a durable design that can be deployed not just at the starting line of your favorite race but in the days and months after your conquest. it offers comfort and reliability but with a propulsive sensation that’ll help you feel fast and fresh. that kind of versatility is uncommon in the running arena. but who said you can’t have it all?,"['https://static.nike.com/a/images/t_PDP_1728_v1/f_auto,q_auto:eco/9d563551-a673-4b53-b04b-a6e7d38edaa5/zoom-fly-5-mens-road-running-shoes-jGsdSl.png']",nike zoom fly 5,170.0,170.0,81,2023-12-16 11:41:34,https://www.nike.com/t/zoom-fly-5-mens-road-running-shoes-jGsdSl/DM8968-101,147.3~151.39~195.13~170.61~170.97,,
12,instock,4.5,nike,black/dark smoke grey/volt/white,usa,"your workhorse with wings returns to help you push through the rain. a water-repellent finish helps keep you dry while a cozy fleece-like feel on the inside helps keep your feet warm for nasty-weather runs. rugged traction and 2 zoom air units provide grip and soft cushioning, so you can power through the elements.","['https://static.nike.com/a/images/t_PDP_1728_v1/f_auto,q_auto:eco/a8864f68-2838-4f4b-bd37-ce34eed012a5/pegasus-shield-mens-weatherized-road-running-shoes-4rL2wd.png']",nike pegasus shield,145.0,145.0,53,2023-12-16 11:41:42,https://www.nike.com/t/pegasus-shield-mens-weatherized-road-running-shoes-4rL2wd/DO7625-002,134.86~139.9~162.73~140.15~171.61,,
13,instock,3.9,nike,black/off noir/dark smoke grey/black,usa,"nasty weather doesn’t need to put an end to your run. revel in the elements with these shoes designed to help you push through every puddle, pit stop, pothole and personal record. a water-repellent finish helps keep you dry while tire-like traction and a full-length air unit provide grip and soft cushioning to help keep you running when conditions get slick.","['https://static.nike.com/a/images/t_PDP_1728_v1/f_auto,q_auto:eco/1dcc26f7-5c16-4f90-8837-d46e7870d05e/wio-9-shield-mens-weatherized-road-running-shoes-bzxswh.png']",nike winflo 9 shield,115.0,115.0,30,2023-12-16 11:41:50,https://www.nike.com/t/wio-9-shield-mens-weatherized-road-running-shoes-bzxswh/DM1106-007,113.35~135.01~93.75,,
14,instock,4.2,nike,black/anthracite/white,usa,"if it’s freedom you crave, this road runner can help turn you loose. feathery and flexible, its barefoot feel and flyknit upper will have you freewheeling with joy, ready to go a few more strides.","['https://static.nike.com/a/images/t_PDP_1728_v1/f_auto,q_auto:eco/9d19ad97-8e79-4627-ab0a-a53b69474f03/free-rn-nn-mens-road-running-shoes-mtjPzd.png']",nike free rn nn,110.0,110.0,33,2023-12-16 11:41:59,https://www.nike.com/t/free-rn-nn-mens-road-running-shoes-mtjPzd/FB1276-002,73.08~105.38~98.71~39.42~149.91,,
15,instock,4.5,nike,light armory blue/platinum tint/star blue/green strike,usa,"the nike motiva helps you step through whatever the day brings, at your pace. its uniquely patterned outsole and exaggerated rocker combine to give you a super-smooth, cushioned and comfortable ride. this means you can walk, jog or run comfortably and come back for your next leisurely stroll confidently. it gives you optimal support for your every move, every day.","['https://static.nike.com/a/images/t_PDP_1728_v1/f_auto,q_auto:eco/7337ea52-7e01-478e-90e9-5839aa3b2f2c/motiva-mens-walking-shoes-0vX49k.png']",nike motiva,110.0,110.0,227,2023-12-16 11:42:07,https://www.nike.com/t/motiva-mens-walking-shoes-0vX49k/DV1237-402,102.32~142.74~105.57~113.1~132.84,,
16,instock,4.3,nike,black/white/sail/metallic gold grai,usa,"our lightest racing shoe, the nike streakfly is all about the speed you need to take on the competition in a mile, 5k or 10k race. low profile with sleek details, it feels like it disappears on your foot to help you better connect with the road on the way to your personal best.","['https://static.nike.com/a/images/t_PDP_1728_v1/f_auto,q_auto:eco/451b4531-1090-4044-ad0f-fa9e2b6cd902/streakfly-road-racing-shoes-8rTxtR.png']",nike streakfly,170.0,170.0,63,2023-12-16 11:42:16,https://www.nike.com/t/streakfly-road-racing-shoes-8rTxtR/DJ6566-001,150.96~189.51~162.2~148.57,,
17,instock,4.5,nike,light carbon/dark stucco/cosmic clay/light orewood br,usa,"the juniper trail 2 has waterproof gore-tex on the upper, grippy traction and a soft, cushiony midsole. it helps keep your toes dry when the trail conditions are splashy and sleety.","['https://static.nike.com/a/images/t_PDP_1728_v1/f_auto,q_auto:eco/d9fc3968-85d6-4d21-8d2c-37941483c6c1/juniper-trail-2-gore-tex-mens-waterproof-trail-running-shoes-M3zFpN.png']",nike juniper trail 2 gore-tex,130.0,130.0,23,2023-12-16 11:42:26,https://www.nike.com/t/juniper-trail-2-gore-tex-mens-waterproof-trail-running-shoes-M3zFpN/FB2067-006,135.11~102.43~121.28~122.11,,
18,instock,4.7,nike,velvet brown/black/anthracite,usa,"running is your daily ritual, taking you from road to trail as you seek out new adventures and goals. let the nike pegasus trail 4 take you there and back again with its supportive and springy feel. underfoot traction keeps you going over rocky terrain, while still providing a smooth ride for the road. midfoot support is controlled by the laces, letting you find the right fit and feel. your trusted workhorse with wings is ready for an off-road journey. time to fly.","['https://static.nike.com/a/images/t_PDP_1728_v1/f_auto,q_auto:eco/a23380a8-6a05-44ff-82ff-3146bff39d21/pegasus-trail-4-mens-trail-running-shoes-ccmnVP.png']",nike pegasus trail 4,140.0,140.0,316,2023-12-16 11:42:35,https://www.nike.com/t/pegasus-trail-4-mens-trail-running-shoes-ccmnVP/DJ6158-201,138.59~77.34~202.62~95.13,,
19,instock,4.7,nike,white/vivid sulfur/anthracite/black,usa,"navigate the up and downs of uncompromising terrain with the nike zegama. developed with great grip and stability, it has you covered so you can keep climbing and reach greater personal heights when the going gets grimy and gritty. whether it's a challenging, rocky landscape going uphill or a steep, slick decline down a treacherous trail, feel confident when you decide to off-road it.","['https://static.nike.com/a/images/t_PDP_1728_v1/f_auto,q_auto:eco/b8e894a1-e5d7-4362-9ef3-e2ab66904687/zegama-mens-trail-running-shoes-1t400b.png']",nike zegama,170.0,170.0,91,2023-12-16 11:42:43,https://www.nike.com/t/zegama-mens-trail-running-shoes-1t400b/DH0623-100,141.86~203.96~82.65~128.13~183.98,,
20,instock,4.7,nike,black/reflect silver/cool grey/wolf grey,usa,"when approaching rocky and technical terrain, go with the comfort and speed of the kiger 9, there for every unexpected twist and tight turn. equipped with full-length nike react foam and a revamped breathable upper, this agile, quick trainer helps keep you zigzagging in and out of trails with speed. it’s lower to the ground and lighter than our previous iteration, so that you can handle the off-road path with pace and security.","['https://static.nike.com/a/images/t_PDP_1728_v1/f_auto,q_auto:eco/5b6ce581-7b70-4a7a-ac3a-d1fccf992da5/kiger-9-mens-trail-running-shoes-TjtXhk.png']",nike kiger 9,160.0,160.0,134,2023-12-16 11:42:52,https://www.nike.com/t/kiger-9-mens-trail-running-shoes-TjtXhk/DR2693-001,185.43~281.29~167.67,,
21,instock,4.7,nike,black/cool grey/white/wolf grey,usa,"hoof it from the trailhead to the top, and handle winding paths, rolling hills, tricky switchbacks and everything in between in the nike wildhorse 8. with an abundance of rugged traction, cushioned responsiveness and trusted containment to help keep you upright, it’s made for tough trail runs, the ones with limitless miles and gnarly terrain that are too enticing to turn down.","['https://static.nike.com/a/images/t_PDP_1728_v1/f_auto,q_auto:eco/5d3a49a8-b941-449d-b917-50e803eb45cd/wildhorse-8-mens-trail-running-shoes-zPRz8Z.png']",nike wildhorse 8,140.0,140.0,86,2023-12-16 11:43:00,https://www.nike.com/t/wildhorse-8-mens-trail-running-shoes-zPRz8Z/DR2686-001,112.26~153.36~165.6~164.1,,
22,instock,4.6,nike,white/safety orange/vivid grape/deep jungle,usa,"manifest your mountainous best, when the trail ahead is skiddy and uncertain. our all-new championship trail racing shoe melds our best speed components from the running world with what you need to plant your flag first at the finish line. it offers peak performance, sleek speed and endurance for those who want to summit nature’s playground.","['https://static.nike.com/a/images/t_PDP_1728_v1/f_auto,q_auto:eco/b0254710-883f-400c-bbca-af9f9197522f/ultrafly-mens-trail-running-shoes-K8vfLD.png']",nike ultrafly,260.0,260.0,33,2023-12-16 11:43:09,https://www.nike.com/t/ultrafly-mens-trail-running-shoes-K8vfLD/DX1978-101,314.87~274.3~204.18,,
23,instock,4.4,nike,black/sail/metallic gold grai,usa,"once you take a few strides in the nike air zoom alphafly next% 2, you’ll never look at your favorite pair of old racing shoes the same way again. these rocket ships are made to help shave precious time off your personal records without surrendering the foundation you need to go the full distance. a thick, lightweight support system marries the 2 worlds of comfort and speed in holy running matrimony. enjoy the greatest energy return of all our racing shoes while you chase your personal bests.","['https://static.nike.com/a/images/t_PDP_1728_v1/f_auto,q_auto:eco/6c98784c-fe3d-4130-ab7a-74175779dbf6/alphafly-2-mens-road-racing-shoes-Bstm8X.png']",nike alphafly 2,285.0,285.0,152,2023-12-16 11:43:17,https://www.nike.com/t/alphafly-2-mens-road-racing-shoes-Bstm8X/DN3555-001,178.48~320.56~290.38~359.95,,
24,instock,4.4,nike,field purple/rush fuchsia,usa,"wanda durant is the real mvp, but kd also has to give props to his grandma, barbara a. davis, the one who told kd his height would be a gift. her front porch was a sanctuary of sorts for the durant family, a gathering place on sundays to congregate, break bread, celebrate the good times and weather the bad. her enduring memory lives on in this special design, featuring her favorite color, purple. check the tongue and insole for her initials, b.a.d.","['https://static.nike.com/a/images/t_PDP_1728_v1/f_auto,q_auto:eco/e7fe9600-1d4d-47d0-befd-8dce426186f2/kd16-bad-basketball-shoes-H3gcDG.png']","kd16 ""b.a.d.""",160.0,160.0,39,2023-12-16 11:43:30,https://www.nike.com/t/kd16-bad-basketball-shoes-H3gcDG/DV2917-500,175.14~178.54~149.99~134.7~160.66,,
25,instock,4.7,nike,wolf grey/blue tint/university blue/white,usa,"how high do you want to fly? get off the ground quicker in a design that helps you hover and hold your own in the air when the action goes vertical. if you’re a shooter trying to add lift to your jumper, a skyscraper hoping to float among the stars, or a ground bound beast trying to beat your opponent to that rebound off the rim, this shoe can add an element of explosiveness to your game. the bounce is unlike anything you’ve felt before, and the landing is cushioned, helping you spring back skyward once you hit the ground.","['https://static.nike.com/a/images/t_PDP_1728_v1/f_auto,q_auto:eco/471fcad9-e3f5-48e5-8227-4edb7e29b517/gt-jump-2-mens-basketball-shoes-JgT85c.png']",nike g.t. jump 2,180.0,180.0,61,2023-12-16 11:43:39,https://www.nike.com/t/gt-jump-2-mens-basketball-shoes-JgT85c/DJ9431-002,203.89~244.04~201.0~116.41~144.58,,
26,instock,4.6,nike,pure platinum/summit white/track red/metallic silver,usa,"in today’s game, slow-footed slugs get sought out and exposed. space makers stay on the floor. the g.t. cut 2 helps you stop on a dime and accelerate back into the open lane in a low-to-the-ground design that helps minimize court contact while switching direction. we used insights from female athletes to create a shoe that helps you play quickly and with confidence—which every basketball player needs. separate the players from the playmakers in a design that’s built on creating separation but supportive enough to help you play all day.","['https://static.nike.com/a/images/t_PDP_1728_v1/f_auto,q_auto:eco/464f48a2-bde1-4264-aa7f-67cc60975ece/gt-cut-2-mens-basketball-shoes-tmfmFl.png']",nike g.t. cut 2,170.0,170.0,113,2023-12-16 11:43:48,https://www.nike.com/t/gt-cut-2-mens-basketball-shoes-tmfmFl/DJ6015-008,182.8~103.47~173.02~219.32~159.19,,
27,instock,4.5,nike,track red/mystic red/fir/metallic silver,usa,"one step can make all the difference when it’s game point, like a sneaky successful backdoor layup that’s blocked if not for a sliver of separation, or a last-second leap at your opponent that sends their 3 clanking off the rim. we used insights from female athletes to make the g.t. hustle 2 soft, supportive and lightweight—which every basketball player needs. loaded with cushioning in the core and zoom air spring in the forefoot, this shoe helps you stay moving forward—from check-up to “that’s game.” sprint, stop and score from end to end, focusing on dominating, not deteriorating, down the stretch.","['https://static.nike.com/a/images/t_PDP_1728_v1/f_auto,q_auto:eco/0a33a876-d694-413a-953c-0bc3758c1ea9/gt-hustle-2-mens-basketball-shoes-8FSgBX.png']",nike g.t. hustle 2,170.0,170.0,19,2023-12-16 11:43:56,https://www.nike.com/t/gt-hustle-2-mens-basketball-shoes-8FSgBX/DJ9405-601,180.54~180.24~179.4~169.36,,
28,instock,4.3,nike,light silver/deep jungle/honeydew/white,usa,"better for your game, designed with sustainability in mind—two things you care about—the cosmic unity 3 has a secure, lightweight design for a low-to-the-ground feel. it gives you cloud-like cushioning for explosive speed and quick changes in direction, the difference-makers in a game that’s becoming more extraterrestrial.","['https://static.nike.com/a/images/t_PDP_1728_v1/f_auto,q_auto:eco/1eba26e0-da31-4582-b7ee-6f882e708441/cosmic-unity-3-basketball-shoes-0zGs9z.png']",cosmic unity 3,170.0,170.0,72,2023-12-16 11:44:05,https://www.nike.com/t/cosmic-unity-3-basketball-shoes-0zGs9z/DV2757-003,237.73~231.41~185.67~226.12,,
29,instock,4.7,nike,medium soft pink/total orange/laser orange/oil gree,usa,"sabrina ionescu's game is unique, hard to define and built with an undeniable craft. her signature shoe helps you unlock your versatility with a snappy forefoot zoom air unit and cloud-like react foam to help keep you energized. we used insights from next-gen athletes of all genders around the world to bring grippy, best-in-class traction, reliable midfoot support and stability to the court—which every hooper needs. built for crafty players like sabrina, but made for anyone who's ready to put in the work to take their game to the next level.","['https://static.nike.com/a/images/t_PDP_1728_v1/f_auto,q_auto:eco/6687f5fe-ae6c-460f-923b-73a843dc544c/sabrina-1-west-coast-roots-basketball-shoes-f8jr2H.png']","sabrina 1 ""west coast roots""",130.0,130.0,99,2023-12-16 11:44:15,https://www.nike.com/t/sabrina-1-west-coast-roots-basketball-shoes-f8jr2H/FQ3381-600,177.4~73.02~132.22~142.62~87.79,,
30,instock,0.0,nike,industrial blue/photon dust/emerald rise/metallic silver,usa,"last time around, lebron flipped the script on his shoe game as only the king can. the encore is even better. the lebron xxi has a cabling system that works with zoom air cushioning and a light, low-to-the-ground design, giving you agile fluidity and explosiveness without excess weight. created for your ascent and the next generation of hoopers, it’s ideal for bron-like open-floor attacks and rising toward the rim when the game’s pace turns up. this special design celebrates the vibrant shell of the abalone.","['https://static.nike.com/a/images/t_PDP_1728_v1/f_auto,q_auto:eco/2322520e-d22d-47d1-8197-096e709cbb49/lebron-xxi-abalone-basketball-shoes-lnQSsH.png']","lebron xxi ""abalone""",210.0,210.0,0,2023-12-16 11:44:24,https://www.nike.com/t/lebron-xxi-abalone-basketball-shoes-lnQSsH/FN0708-400,212.98~201.59~177.41,,
31,instock,4.8,nike,court purple/light thistle heather/university gold/black,usa,"whether you’re a dunk contest-like leaper or a below-the-rim wonder roaming the baseline, feel faster, lower to the court and assured in the lebron nxxt gen. we specifically tailored it to meet the demands of today’s fast-paced game, so that you can stay ahead of the opposition with your speed and force in all directions.","['https://static.nike.com/a/images/t_PDP_1728_v1/f_auto,q_auto:eco/4e3f1a22-7680-4930-871a-69bced4b0b44/lebron-nxxt-gen-basketball-shoes-55g4w1.png']",lebron nxxt gen,144.97,170.0,192,2023-12-16 11:44:33,https://www.nike.com/t/lebron-nxxt-gen-basketball-shoes-55g4w1/DR8784-500,167.68~74.53~163.95,,
32,instock,4.2,nike,black/volt/white,usa,"when you step on the floor, what kind of performance do you want to put on? stop the show in these lebron witness 8’s, and let them know there are no limits to your flair and full-scale skills. this sleek and boldly sculpted shoe offers stability when exploding and soft landings when you come back to the ground, allowing kingpins like you and lebron to bound, brake and bolt from baseline to baseline.","['https://static.nike.com/a/images/t_PDP_1728_v1/f_auto,q_auto:eco/8d1e77f7-634b-41c9-9dc3-b8c011820af2/lebron-witness-8-basketball-shoes-fSSfm4.png']",lebron witness 8,93.97,110.0,30,2023-12-16 11:44:45,https://www.nike.com/t/lebron-witness-8-basketball-shoes-fSSfm4/FB2239-002,72.17~84.67~98.16~65.01~80.55,,
33,instock,3.6,nike,black/laser orange/citron pulse/white,usa,"take the classic combo of black and white, and infuse it with some youthful energy. the result: this special edition zion 3. check out those colorful pops. feel the court-ready tech. and that icy outsole? it’s over.","['https://static.nike.com/a/images/t_PDP_1728_v1/f_auto,q_auto:eco,u_126ab356-44d8-4a06-89b4-fcdcc8df0245,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/6b6fee86-d928-4ba3-b6ac-11ca7b79bf4a/zion-3-gen-zion-basketball-shoes-GWLnqd.png']","zion 3 ""gen zion""",140.0,140.0,15,2023-12-16 11:44:54,https://www.nike.com/t/zion-3-gen-zion-basketball-shoes-GWLnqd/DR0675-018,103.32~155.22~119.81~148.42,,
34,instock,5.0,nike,moke grey/light smoke grey/dark smoke grey/laser orange,usa,slovenia—luka’s home country—is the first nation to be declared a “green destination of the world” in its entirety. celebrate its status with this special-edition luka 2. the colorway is inspired by slovenia’s stunning underground caves. the shoe’s mindful construction (each pair is made with at least 20% recycled material by weight) honors the country’s ongoing dedication to sustainability.,"['https://static.nike.com/a/images/t_PDP_1728_v1/f_auto,q_auto:eco,u_126ab356-44d8-4a06-89b4-fcdcc8df0245,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/ad0eda2e-c708-4bc6-9489-5697f94deeb2/luka-2-caves-basketball-shoes-8Wcc7f.png']","luka 2 ""caves""",130.0,130.0,1,2023-12-16 11:45:03,https://www.nike.com/t/luka-2-caves-basketball-shoes-8Wcc7f/DX9013-008,148.5~128.15~136.13~115.28~155.35,,
35,instock,3.8,nike,black/anthracite/green strike,usa,"elevate above the competition with this bold and bright take on the tatum 1. sleek black accented with hi-vis green will give your opponents a way to remember you when you speed by. full of court-ready tech, the lightweight build is designed to respond to, and help support, your every move.","['https://static.nike.com/a/images/t_PDP_1728_v1/f_auto,q_auto:eco,u_126ab356-44d8-4a06-89b4-fcdcc8df0245,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/376c2206-af18-41fd-8059-4bb2cac9109b/tatum-1-away-team-basketball-shoes-xbB1Nt.png']","tatum 1 ""away team""",120.0,120.0,11,2023-12-16 11:45:11,https://www.nike.com/t/tatum-1-away-team-basketball-shoes-xbB1Nt/DZ3324-003,147.01~118.22~78.67~69.44~140.91,,
36,instock,4.7,nike,black/bright concord/aquatone/true red,usa,"these blue hues look even better now than they did 30 years ago. an homage to heritage, the special edition ajxxxviii “aqua” reimagines one of the most coveted aj8 colorways of all time—it even has the iconic tongue patch. all the game-ready tech you expect is there too, like low-to-the-court cushioning and a secure upper that helps support every move. dive in.","['https://static.nike.com/a/images/t_PDP_1728_v1/f_auto,q_auto:eco,u_126ab356-44d8-4a06-89b4-fcdcc8df0245,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/281075d7-51a5-4703-816d-09945aa8dd00/air-jordan-xxxviii-aqua-basketball-shoes-7qLMW4.png']","air jordan xxxviii ""aqua""",200.0,200.0,49,2023-12-16 11:45:20,https://www.nike.com/t/air-jordan-xxxviii-aqua-basketball-shoes-7qLMW4/DZ3356-001,187.82~195.25~200.02,,
