,ProductId,availability,avg_rating,brand,color,currency,description,images,name,price,original_price,review_count,scraped_at,url,mock_prices,category,cloth_gender,key_image
10,11,instock,4.5,nike,white/platinum tint/star blue/black,usa,"with stability where you need it, cushion where you want it, the structure 25 supports you for long miles, short training runs and even a down-and-back before the day ends. it’s the stability you seek, loyal from the first tie-up, tried and trusted, with a midfoot system that’s fully supportive and more comfortable cushioning than before.","['https://static.nike.com/a/images/t_PDP_1728_v1/f_auto,q_auto:eco/ec0e42a0-de0d-4e55-b979-ea38b17e1831/structure-25-mens-road-running-shoes-Xsg0D0.png']",nike structure 25,140.0,140,58,2023-12-16 11:41:25,https://www.nike.com/t/structure-25-mens-road-running-shoes-Xsg0D0/DJ7883-104,142.42~161.64~143.96~156.85~151.26,,,"https://static.nike.com/a/images/t_PDP_1728_v1/f_auto,q_auto:eco/ec0e42a0-de0d-4e55-b979-ea38b17e1831/structure-25-mens-road-running-shoes-Xsg0D0.png"
11,12,instock,4.5,nike,white/green strike/racer blue/black,usa,bridge the gap between your weekend training run and race day in a durable design that can be deployed not just at the starting line of your favorite race but in the days and months after your conquest. it offers comfort and reliability but with a propulsive sensation that’ll help you feel fast and fresh. that kind of versatility is uncommon in the running arena. but who said you can’t have it all?,"['https://static.nike.com/a/images/t_PDP_1728_v1/f_auto,q_auto:eco/9d563551-a673-4b53-b04b-a6e7d38edaa5/zoom-fly-5-mens-road-running-shoes-jGsdSl.png']",nike zoom fly 5,170.0,170,81,2023-12-16 11:41:34,https://www.nike.com/t/zoom-fly-5-mens-road-running-shoes-jGsdSl/DM8968-101,147.3~151.39~195.13~170.61~170.97,,,"https://static.nike.com/a/images/t_PDP_1728_v1/f_auto,q_auto:eco/9d563551-a673-4b53-b04b-a6e7d38edaa5/zoom-fly-5-mens-road-running-shoes-jGsdSl.png"
12,13,instock,4.5,nike,black/dark smoke grey/volt/white,usa,"your workhorse with wings returns to help you push through the rain. a water-repellent finish helps keep you dry while a cozy fleece-like feel on the inside helps keep your feet warm for nasty-weather runs. rugged traction and 2 zoom air units provide grip and soft cushioning, so you can power through the elements.","['https://static.nike.com/a/images/t_PDP_1728_v1/f_auto,q_auto:eco/a8864f68-2838-4f4b-bd37-ce34eed012a5/pegasus-shield-mens-weatherized-road-running-shoes-4rL2wd.png']",nike pegasus shield,145.0,145,53,2023-12-16 11:41:42,https://www.nike.com/t/pegasus-shield-mens-weatherized-road-running-shoes-4rL2wd/DO7625-002,134.86~139.9~162.73~140.15~171.61,,,"https://static.nike.com/a/images/t_PDP_1728_v1/f_auto,q_auto:eco/a8864f68-2838-4f4b-bd37-ce34eed012a5/pegasus-shield-mens-weatherized-road-running-shoes-4rL2wd.png"
13,14,instock,3.9,nike,black/off noir/dark smoke grey/black,usa,"nasty weather doesn’t need to put an end to your run. revel in the elements with these shoes designed to help you push through every puddle, pit stop, pothole and personal record. a water-repellent finish helps keep you dry while tire-like traction and a full-length air unit provide grip and soft cushioning to help keep you running when conditions get slick.","['https://static.nike.com/a/images/t_PDP_1728_v1/f_auto,q_auto:eco/1dcc26f7-5c16-4f90-8837-d46e7870d05e/wio-9-shield-mens-weatherized-road-running-shoes-bzxswh.png']",nike winflo 9 shield,115.0,115,30,2023-12-16 11:41:50,https://www.nike.com/t/wio-9-shield-mens-weatherized-road-running-shoes-bzxswh/DM1106-007,113.35~135.01~93.75,,,"https://static.nike.com/a/images/t_PDP_1728_v1/f_auto,q_auto:eco/1dcc26f7-5c16-4f90-8837-d46e7870d05e/wio-9-shield-mens-weatherized-road-running-shoes-bzxswh.png"
14,15,instock,4.2,nike,black/anthracite/white,usa,"if it’s freedom you crave, this road runner can help turn you loose. feathery and flexible, its barefoot feel and flyknit upper will have you freewheeling with joy, ready to go a few more strides.","['https://static.nike.com/a/images/t_PDP_1728_v1/f_auto,q_auto:eco/9d19ad97-8e79-4627-ab0a-a53b69474f03/free-rn-nn-mens-road-running-shoes-mtjPzd.png']",nike free rn nn,110.0,110,33,2023-12-16 11:41:59,https://www.nike.com/t/free-rn-nn-mens-road-running-shoes-mtjPzd/FB1276-002,73.08~105.38~98.71~39.42~149.91,,,"https://static.nike.com/a/images/t_PDP_1728_v1/f_auto,q_auto:eco/9d19ad97-8e79-4627-ab0a-a53b69474f03/free-rn-nn-mens-road-running-shoes-mtjPzd.png"
15,16,instock,4.5,nike,light armory blue/platinum tint/star blue/green strike,usa,"the nike motiva helps you step through whatever the day brings, at your pace. its uniquely patterned outsole and exaggerated rocker combine to give you a super-smooth, cushioned and comfortable ride. this means you can walk, jog or run comfortably and come back for your next leisurely stroll confidently. it gives you optimal support for your every move, every day.","['https://static.nike.com/a/images/t_PDP_1728_v1/f_auto,q_auto:eco/7337ea52-7e01-478e-90e9-5839aa3b2f2c/motiva-mens-walking-shoes-0vX49k.png']",nike motiva,110.0,110,227,2023-12-16 11:42:07,https://www.nike.com/t/motiva-mens-walking-shoes-0vX49k/DV1237-402,102.32~142.74~105.57~113.1~132.84,,,"https://static.nike.com/a/images/t_PDP_1728_v1/f_auto,q_auto:eco/7337ea52-7e01-478e-90e9-5839aa3b2f2c/motiva-mens-walking-shoes-0vX49k.png"
16,17,instock,4.3,nike,black/white/sail/metallic gold grai,usa,"our lightest racing shoe, the nike streakfly is all about the speed you need to take on the competition in a mile, 5k or 10k race. low profile with sleek details, it feels like it disappears on your foot to help you better connect with the road on the way to your personal best.","['https://static.nike.com/a/images/t_PDP_1728_v1/f_auto,q_auto:eco/451b4531-1090-4044-ad0f-fa9e2b6cd902/streakfly-road-racing-shoes-8rTxtR.png']",nike streakfly,170.0,170,63,2023-12-16 11:42:16,https://www.nike.com/t/streakfly-road-racing-shoes-8rTxtR/DJ6566-001,150.96~189.51~162.2~148.57,,,"https://static.nike.com/a/images/t_PDP_1728_v1/f_auto,q_auto:eco/451b4531-1090-4044-ad0f-fa9e2b6cd902/streakfly-road-racing-shoes-8rTxtR.png"
17,18,instock,4.5,nike,light carbon/dark stucco/cosmic clay/light orewood br,usa,"the juniper trail 2 has waterproof gore-tex on the upper, grippy traction and a soft, cushiony midsole. it helps keep your toes dry when the trail conditions are splashy and sleety.","['https://static.nike.com/a/images/t_PDP_1728_v1/f_auto,q_auto:eco/d9fc3968-85d6-4d21-8d2c-37941483c6c1/juniper-trail-2-gore-tex-mens-waterproof-trail-running-shoes-M3zFpN.png']",nike juniper trail 2 gore-tex,130.0,130,23,2023-12-16 11:42:26,https://www.nike.com/t/juniper-trail-2-gore-tex-mens-waterproof-trail-running-shoes-M3zFpN/FB2067-006,135.11~102.43~121.28~122.11,,,"https://static.nike.com/a/images/t_PDP_1728_v1/f_auto,q_auto:eco/d9fc3968-85d6-4d21-8d2c-37941483c6c1/juniper-trail-2-gore-tex-mens-waterproof-trail-running-shoes-M3zFpN.png"
18,19,instock,4.7,nike,velvet brown/black/anthracite,usa,"running is your daily ritual, taking you from road to trail as you seek out new adventures and goals. let the nike pegasus trail 4 take you there and back again with its supportive and springy feel. underfoot traction keeps you going over rocky terrain, while still providing a smooth ride for the road. midfoot support is controlled by the laces, letting you find the right fit and feel. your trusted workhorse with wings is ready for an off-road journey. time to fly.","['https://static.nike.com/a/images/t_PDP_1728_v1/f_auto,q_auto:eco/a23380a8-6a05-44ff-82ff-3146bff39d21/pegasus-trail-4-mens-trail-running-shoes-ccmnVP.png']",nike pegasus trail 4,140.0,140,316,2023-12-16 11:42:35,https://www.nike.com/t/pegasus-trail-4-mens-trail-running-shoes-ccmnVP/DJ6158-201,138.59~77.34~202.62~95.13,,,"https://static.nike.com/a/images/t_PDP_1728_v1/f_auto,q_auto:eco/a23380a8-6a05-44ff-82ff-3146bff39d21/pegasus-trail-4-mens-trail-running-shoes-ccmnVP.png"
19,20,instock,4.7,nike,white/vivid sulfur/anthracite/black,usa,"navigate the up and downs of uncompromising terrain with the nike zegama. developed with great grip and stability, it has you covered so you can keep climbing and reach greater personal heights when the going gets grimy and gritty. whether it's a challenging, rocky landscape going uphill or a steep, slick decline down a treacherous trail, feel confident when you decide to off-road it.","['https://static.nike.com/a/images/t_PDP_1728_v1/f_auto,q_auto:eco/b8e894a1-e5d7-4362-9ef3-e2ab66904687/zegama-mens-trail-running-shoes-1t400b.png']",nike zegama,170.0,170,91,2023-12-16 11:42:43,https://www.nike.com/t/zegama-mens-trail-running-shoes-1t400b/DH0623-100,141.86~203.96~82.65~128.13~183.98,,,"https://static.nike.com/a/images/t_PDP_1728_v1/f_auto,q_auto:eco/b8e894a1-e5d7-4362-9ef3-e2ab66904687/zegama-mens-trail-running-shoes-1t400b.png"
20,21,instock,4.7,nike,black/reflect silver/cool grey/wolf grey,usa,"when approaching rocky and technical terrain, go with the comfort and speed of the kiger 9, there for every unexpected twist and tight turn. equipped with full-length nike react foam and a revamped breathable upper, this agile, quick trainer helps keep you zigzagging in and out of trails with speed. it’s lower to the ground and lighter than our previous iteration, so that you can handle the off-road path with pace and security.","['https://static.nike.com/a/images/t_PDP_1728_v1/f_auto,q_auto:eco/5b6ce581-7b70-4a7a-ac3a-d1fccf992da5/kiger-9-mens-trail-running-shoes-TjtXhk.png']",nike kiger 9,160.0,160,134,2023-12-16 11:42:52,https://www.nike.com/t/kiger-9-mens-trail-running-shoes-TjtXhk/DR2693-001,185.43~281.29~167.67,,,"https://static.nike.com/a/images/t_PDP_1728_v1/f_auto,q_auto:eco/5b6ce581-7b70-4a7a-ac3a-d1fccf992da5/kiger-9-mens-trail-running-shoes-TjtXhk.png"
21,22,instock,4.7,nike,black/cool grey/white/wolf grey,usa,"hoof it from the trailhead to the top, and handle winding paths, rolling hills, tricky switchbacks and everything in between in the nike wildhorse 8. with an abundance of rugged traction, cushioned responsiveness and trusted containment to help keep you upright, it’s made for tough trail runs, the ones with limitless miles and gnarly terrain that are too enticing to turn down.","['https://static.nike.com/a/images/t_PDP_1728_v1/f_auto,q_auto:eco/5d3a49a8-b941-449d-b917-50e803eb45cd/wildhorse-8-mens-trail-running-shoes-zPRz8Z.png']",nike wildhorse 8,140.0,140,86,2023-12-16 11:43:00,https://www.nike.com/t/wildhorse-8-mens-trail-running-shoes-zPRz8Z/DR2686-001,112.26~153.36~165.6~164.1,,,"https://static.nike.com/a/images/t_PDP_1728_v1/f_auto,q_auto:eco/5d3a49a8-b941-449d-b917-50e803eb45cd/wildhorse-8-mens-trail-running-shoes-zPRz8Z.png"
22,23,instock,4.6,nike,white/safety orange/vivid grape/deep jungle,usa,"manifest your mountainous best, when the trail ahead is skiddy and uncertain. our all-new championship trail racing shoe melds our best speed components from the running world with what you need to plant your flag first at the finish line. it offers peak performance, sleek speed and endurance for those who want to summit nature’s playground.","['https://static.nike.com/a/images/t_PDP_1728_v1/f_auto,q_auto:eco/b0254710-883f-400c-bbca-af9f9197522f/ultrafly-mens-trail-running-shoes-K8vfLD.png']",nike ultrafly,260.0,260,33,2023-12-16 11:43:09,https://www.nike.com/t/ultrafly-mens-trail-running-shoes-K8vfLD/DX1978-101,314.87~274.3~204.18,,,"https://static.nike.com/a/images/t_PDP_1728_v1/f_auto,q_auto:eco/b0254710-883f-400c-bbca-af9f9197522f/ultrafly-mens-trail-running-shoes-K8vfLD.png"
23,24,instock,4.4,nike,black/sail/metallic gold grai,usa,"once you take a few strides in the nike air zoom alphafly next% 2, you’ll never look at your favorite pair of old racing shoes the same way again. these rocket ships are made to help shave precious time off your personal records without surrendering the foundation you need to go the full distance. a thick, lightweight support system marries the 2 worlds of comfort and speed in holy running matrimony. enjoy the greatest energy return of all our racing shoes while you chase your personal bests.","['https://static.nike.com/a/images/t_PDP_1728_v1/f_auto,q_auto:eco/6c98784c-fe3d-4130-ab7a-74175779dbf6/alphafly-2-mens-road-racing-shoes-Bstm8X.png']",nike alphafly 2,285.0,285,152,2023-12-16 11:43:17,https://www.nike.com/t/alphafly-2-mens-road-racing-shoes-Bstm8X/DN3555-001,178.48~320.56~290.38~359.95,,,"https://static.nike.com/a/images/t_PDP_1728_v1/f_auto,q_auto:eco/6c98784c-fe3d-4130-ab7a-74175779dbf6/alphafly-2-mens-road-racing-shoes-Bstm8X.png"
24,25,instock,4.4,nike,field purple/rush fuchsia,usa,"wanda durant is the real mvp, but kd also has to give props to his grandma, barbara a. davis, the one who told kd his height would be a gift. her front porch was a sanctuary of sorts for the durant family, a gathering place on sundays to congregate, break bread, celebrate the good times and weather the bad. her enduring memory lives on in this special design, featuring her favorite color, purple. check the tongue and insole for her initials, b.a.d.","['https://static.nike.com/a/images/t_PDP_1728_v1/f_auto,q_auto:eco/e7fe9600-1d4d-47d0-befd-8dce426186f2/kd16-bad-basketball-shoes-H3gcDG.png']","kd16 ""b.a.d.""",160.0,160,39,2023-12-16 11:43:30,https://www.nike.com/t/kd16-bad-basketball-shoes-H3gcDG/DV2917-500,175.14~178.54~149.99~134.7~160.66,,,"https://static.nike.com/a/images/t_PDP_1728_v1/f_auto,q_auto:eco/e7fe9600-1d4d-47d0-befd-8dce426186f2/kd16-bad-basketball-shoes-H3gcDG.png"
25,26,instock,4.7,nike,wolf grey/blue tint/university blue/white,usa,"how high do you want to fly? get off the ground quicker in a design that helps you hover and hold your own in the air when the action goes vertical. if you’re a shooter trying to add lift to your jumper, a skyscraper hoping to float among the stars, or a ground bound beast trying to beat your opponent to that rebound off the rim, this shoe can add an element of explosiveness to your game. the bounce is unlike anything you’ve felt before, and the landing is cushioned, helping you spring back skyward once you hit the ground.","['https://static.nike.com/a/images/t_PDP_1728_v1/f_auto,q_auto:eco/471fcad9-e3f5-48e5-8227-4edb7e29b517/gt-jump-2-mens-basketball-shoes-JgT85c.png']",nike g.t. jump 2,180.0,180,61,2023-12-16 11:43:39,https://www.nike.com/t/gt-jump-2-mens-basketball-shoes-JgT85c/DJ9431-002,203.89~244.04~201.0~116.41~144.58,,,"https://static.nike.com/a/images/t_PDP_1728_v1/f_auto,q_auto:eco/471fcad9-e3f5-48e5-8227-4edb7e29b517/gt-jump-2-mens-basketball-shoes-JgT85c.png"
26,27,instock,4.6,nike,pure platinum/summit white/track red/metallic silver,usa,"in today’s game, slow-footed slugs get sought out and exposed. space makers stay on the floor. the g.t. cut 2 helps you stop on a dime and accelerate back into the open lane in a low-to-the-ground design that helps minimize court contact while switching direction. we used insights from female athletes to create a shoe that helps you play quickly and with confidence—which every basketball player needs. separate the players from the playmakers in a design that’s built on creating separation but supportive enough to help you play all day.","['https://static.nike.com/a/images/t_PDP_1728_v1/f_auto,q_auto:eco/464f48a2-bde1-4264-aa7f-67cc60975ece/gt-cut-2-mens-basketball-shoes-tmfmFl.png']",nike g.t. cut 2,170.0,170,113,2023-12-16 11:43:48,https://www.nike.com/t/gt-cut-2-mens-basketball-shoes-tmfmFl/DJ6015-008,182.8~103.47~173.02~219.32~159.19,,,"https://static.nike.com/a/images/t_PDP_1728_v1/f_auto,q_auto:eco/464f48a2-bde1-4264-aa7f-67cc60975ece/gt-cut-2-mens-basketball-shoes-tmfmFl.png"
27,28,instock,4.5,nike,track red/mystic red/fir/metallic silver,usa,"one step can make all the difference when it’s game point, like a sneaky successful backdoor layup that’s blocked if not for a sliver of separation, or a last-second leap at your opponent that sends their 3 clanking off the rim. we used insights from female athletes to make the g.t. hustle 2 soft, supportive and lightweight—which every basketball player needs. loaded with cushioning in the core and zoom air spring in the forefoot, this shoe helps you stay moving forward—from check-up to “that’s game.” sprint, stop and score from end to end, focusing on dominating, not deteriorating, down the stretch.","['https://static.nike.com/a/images/t_PDP_1728_v1/f_auto,q_auto:eco/0a33a876-d694-413a-953c-0bc3758c1ea9/gt-hustle-2-mens-basketball-shoes-8FSgBX.png']",nike g.t. hustle 2,170.0,170,19,2023-12-16 11:43:56,https://www.nike.com/t/gt-hustle-2-mens-basketball-shoes-8FSgBX/DJ9405-601,180.54~180.24~179.4~169.36,,,"https://static.nike.com/a/images/t_PDP_1728_v1/f_auto,q_auto:eco/0a33a876-d694-413a-953c-0bc3758c1ea9/gt-hustle-2-mens-basketball-shoes-8FSgBX.png"
28,29,instock,4.3,nike,light silver/deep jungle/honeydew/white,usa,"better for your game, designed with sustainability in mind—two things you care about—the cosmic unity 3 has a secure, lightweight design for a low-to-the-ground feel. it gives you cloud-like cushioning for explosive speed and quick changes in direction, the difference-makers in a game that’s becoming more extraterrestrial.","['https://static.nike.com/a/images/t_PDP_1728_v1/f_auto,q_auto:eco/1eba26e0-da31-4582-b7ee-6f882e708441/cosmic-unity-3-basketball-shoes-0zGs9z.png']",cosmic unity 3,170.0,170,72,2023-12-16 11:44:05,https://www.nike.com/t/cosmic-unity-3-basketball-shoes-0zGs9z/DV2757-003,237.73~231.41~185.67~226.12,,,"https://static.nike.com/a/images/t_PDP_1728_v1/f_auto,q_auto:eco/1eba26e0-da31-4582-b7ee-6f882e708441/cosmic-unity-3-basketball-shoes-0zGs9z.png"
29,30,instock,4.7,nike,medium soft pink/total orange/laser orange/oil gree,usa,"sabrina ionescu's game is unique, hard to define and built with an undeniable craft. her signature shoe helps you unlock your versatility with a snappy forefoot zoom air unit and cloud-like react foam to help keep you energized. we used insights from next-gen athletes of all genders around the world to bring grippy, best-in-class traction, reliable midfoot support and stability to the court—which every hooper needs. built for crafty players like sabrina, but made for anyone who's ready to put in the work to take their game to the next level.","['https://static.nike.com/a/images/t_PDP_1728_v1/f_auto,q_auto:eco/6687f5fe-ae6c-460f-923b-73a843dc544c/sabrina-1-west-coast-roots-basketball-shoes-f8jr2H.png']","sabrina 1 ""west coast roots""",130.0,130,99,2023-12-16 11:44:15,https://www.nike.com/t/sabrina-1-west-coast-roots-basketball-shoes-f8jr2H/FQ3381-600,177.4~73.02~132.22~142.62~87.79,,,"https://static.nike.com/a/images/t_PDP_1728_v1/f_auto,q_auto:eco/6687f5fe-ae6c-460f-923b-73a843dc544c/sabrina-1-west-coast-roots-basketball-shoes-f8jr2H.png"
